property_id,category_desc,area_ha
3706251,Dairy,0.591
3706251,Forestry,1.13
3706258,Sheep,0.141
3706287,Forestry,0.29
3706292,Forestry,2.467
3706333,Sheep,0.083
3706338,Dairy,0.461
3706347,Forestry,22.636
3706349,Dairy,0.397
3706351,Dairy,0.102
3706371,Beef and Sheep,0.033
3706371,Dairy,27.375
3706371,Forestry,2.243
3706375,Beef and Sheep,1.069
3706375,Dairy,0.217
3706397,Beef and Sheep,5.847
3706397,Forestry,5.194
3706397,Sheep,24.24
3706447,Forestry,11.25
3706470,Beef and Sheep,0.195
3706471,Forestry,1.732
3706475,Forestry,0.351
3706481,Forestry,26.928
3706494,Dairy,0.289
3706496,Forestry,22.843
3706497,Sheep,0.002
3706503,Forestry,3.356
3706504,Beef and Sheep,0.62
3706504,Sheep,0.741
3706514,Forestry,12.531
3706530,Forestry,0.892
3706531,Beef and Sheep,0.096
3706533,Forestry,24.042
3706533,Sheep,0.026
3706553,Forestry,0.043
3706556,Forestry,0.065
3706558,Beef and Sheep,1.436
3706558,Sheep,5.167
3706565,Forestry,47.047
3706578,Sheep,0.231
3706598,Sheep,0.468
3706605,Forestry,0.722
3706613,Beef and Sheep,5.422
3706613,Sheep,0.236
3706618,Beef and Sheep,29.814
3706618,Forestry,0.091
3706618,Sheep,3.634
3706623,Beef and Sheep,0.227
3706623,Forestry,0.07
3706625,Sheep,0.089
3706642,Beef and Sheep,0.035
3706642,Forestry,0.632
3706642,Sheep,0.007
3706646,Forestry,25.052
3706662,Forestry,34.131
3706675,Dairy,25.569
3706720,Beef and Sheep,0.096
3706720,Dairy,0
3706723,Forestry,0.013
3706724,Forestry,0.025
3706724,Sheep,2.265
3706737,Dairy,105.279
3706737,Forestry,32.21
3706753,Forestry,0.59
3706753,Sheep,5.171
3706761,Forestry,0.38
3706767,Sheep,0.358
3706784,Forestry,6.943
3706828,Beef and Sheep,0.049
3706832,Dairy,1.245
3706832,Forestry,1.308
3706832,Sheep,0.137
3706881,Beef and Sheep,0.31
3706883,Beef and Sheep,0.179
3706885,Beef and Sheep,0.101
3706885,Dairy,62.183
3706885,Forestry,0.655
3706894,Forestry,7.318
3706896,Forestry,0.566
3706898,Sheep,0.121
3706914,Beef and Sheep,0.046
3706920,Sheep,0.142
3706924,Forestry,10.997
3706924,Sheep,1.901
3706932,Beef and Sheep,0.467
3706935,Sheep,0.123
3706937,Sheep,0.105
3706938,Sheep,0.051
3706948,Forestry,0.437
3706948,Sheep,0.049
3706955,Sheep,0.119
3706958,Sheep,16.674
3706965,Sheep,0.081
3706981,Dairy,3.829
3706981,Forestry,0.451
3707005,Sheep,0.126
3707008,Forestry,28.408
3707010,Forestry,1.159
3707049,Beef and Sheep,0.019
3707049,Dairy,0.492
3707049,Forestry,17.443
3707049,Sheep,0.265
3707072,Forestry,0
3707072,Sheep,0.031
3707115,Beef and Sheep,0.197
3707120,Beef and Sheep,14.287
3707120,Sheep,0.32
3707201,Dairy,0.341
3707202,Dairy,4.13
3707209,Forestry,39.377
3707209,Sheep,7.56
3707216,Forestry,0.371
3707216,Sheep,16.022
3707288,Dairy,8.506
3707329,Beef and Sheep,0.006
3707329,Dairy,0.015
3707329,Forestry,69.718
3707329,Sheep,0.224
3707396,Dairy,68.004
3707396,Forestry,1.384
3707398,Forestry,0.002
3707438,Beef and Sheep,0.031
3707438,Sheep,0.008
3707442,Sheep,0.045
3707455,Dairy,0.698
3707465,Beef and Sheep,7.528
3707514,Forestry,0.142
3707519,Beef and Sheep,9.335
3707519,Sheep,40.431
3707522,Forestry,1.006
3707542,Beef and Sheep,1.432
3707542,Dairy,0.026
3707542,Forestry,15.516
3707542,Sheep,0.888
3707556,Beef and Sheep,10.596
3707556,Forestry,4.966
3707556,Sheep,16.309
3707678,Sheep,0.015
3707698,Beef and Sheep,24.496
3707698,Forestry,0
3707711,Sheep,137.223
3707734,Sheep,0.101
3707763,Beef and Sheep,4.63
3707763,Sheep,1.592
3707781,Beef and Sheep,0.404
3707784,Sheep,152.507
3707798,Beef and Sheep,0.403
3707802,Beef and Sheep,0.203
3707803,Sheep,0.101
3707810,Beef and Sheep,0.325
3707810,Dairy,21.167
3707836,Beef and Sheep,13.774
3707836,Sheep,6.891
3707861,Beef and Sheep,0.097
3707861,Dairy,0.055
3707876,Beef and Sheep,0.067
3707876,Dairy,0
3707876,Forestry,16.297
3707877,Beef and Sheep,0.005
3707877,Dairy,0.59
3707895,Forestry,31.902
3707905,Sheep,30.941
3707906,Sheep,0.024
3707935,Beef and Sheep,1.691
3707949,Forestry,25.614
3707964,Sheep,0.645
3707967,Beef and Sheep,0.091
3707967,Dairy,20.753
3707967,Sheep,0.117
3708001,Sheep,0.042
3708129,Forestry,0.845
3708129,Sheep,13.56
3708144,Dairy,20.786
3708144,Forestry,9.208
3708148,Beef and Sheep,1.353
3708148,Sheep,0.781
3708165,Sheep,0.06
3708172,Beef and Sheep,0.013
3708180,Beef and Sheep,0.007
3708180,Dairy,0.927
3708231,Beef and Sheep,0.367
3708234,Dairy,1.231
3708234,Forestry,4.734
3708244,Sheep,0.056
3708246,Forestry,0.014
3708278,Sheep,0.023
3708296,Beef and Sheep,0.229
3708297,Sheep,0.099
3708331,Sheep,0.073
3708332,Sheep,0.104
3708453,Forestry,0
3708492,Beef and Sheep,15.151
3708492,Cropping,0.159
3708542,Beef and Sheep,12.626
3708542,Forestry,10.284
3708542,Sheep,0.153
3708549,Dairy,0.608
3708549,Forestry,15.997
3708549,Sheep,0.08
3708555,Dairy,11.742
3708555,Forestry,0
3708565,Forestry,27.739
3708566,Sheep,0.222
3708569,Beef and Sheep,0.443
3708570,Forestry,4.251
3708573,Dairy,0.006
3708602,Beef and Sheep,0.429
3708602,Forestry,0.013
3708608,Sheep,0.061
3708611,Beef and Sheep,11.014
3708611,Sheep,14.12
3708630,Sheep,0.028
3708633,Sheep,1.217
3708636,Forestry,2.389
3708641,Forestry,2.204
3708651,Beef and Sheep,0.246
3708651,Dairy,16.004
3708651,Forestry,2.375
3708680,Beef and Sheep,9.226
3708680,Forestry,2.411
3708680,Sheep,17.294
3708697,Sheep,0.004
3708705,Beef and Sheep,21.659
3708705,Dairy,0.046
3708705,Forestry,0.968
3708705,Sheep,14.662
3708749,Beef and Sheep,3.595
3708767,Dairy,0.469
3708767,Forestry,40.893
3708767,Sheep,0.025
3708780,Beef and Sheep,2.105
3708780,Forestry,0.015
3708780,Sheep,5.417
3708782,Sheep,0.615
3708797,Sheep,0.266
3708801,Sheep,0.019
3708817,Sheep,0.057
3708848,Forestry,68.806
3708848,Sheep,1.689
3708850,Beef and Sheep,0.3
3708854,Sheep,0.458
3708960,Forestry,0.032
3708961,Beef and Sheep,0.091
3708966,Forestry,1.672
3708971,Beef and Sheep,1.546
3708972,Forestry,0.064
3709010,Beef and Sheep,3.759
3709010,Dairy,0.002
3709010,Forestry,0.075
3709038,Forestry,0.233
3709052,Beef and Sheep,1.758
3709068,Sheep,0.179
3709087,Forestry,51.758
3709093,Beef and Sheep,2.264
3709093,Forestry,67.329
3709093,Sheep,3.205
3709097,Forestry,12.836
3709099,Beef and Sheep,0.066
3709099,Sheep,2.212
3709104,Beef and Sheep,0.657
3709104,Forestry,0.541
3709106,Forestry,0.006
3709117,Sheep,0.061
3709141,Sheep,0.147
3709149,Sheep,0.38
3709158,Sheep,0.03
3709162,Beef and Sheep,0.018
3709162,Sheep,1.251
3709180,Sheep,0.004
3709181,Sheep,0.002
3709183,Sheep,0.06
3709270,Beef and Sheep,0.061
3709272,Forestry,33.911
3709288,Beef and Sheep,13.979
3709288,Dairy,0.019
3709288,Forestry,0.049
3709292,Beef and Sheep,0.3
3709309,Sheep,0.022
3709310,Sheep,0.1
3709330,Beef and Sheep,4.699
3709332,Sheep,0.213
3709359,Beef and Sheep,0.521
3709370,Forestry,1.525
3709375,Forestry,10.9
3709387,Beef and Sheep,18.549
3709387,Sheep,3.241
3709388,Forestry,35.335
3709388,Sheep,0.017
3709395,Forestry,6.746
3709399,Sheep,0.002
3709405,Dairy,4.709
3709436,Beef and Sheep,0
3709436,Dairy,0.609
3709449,Beef and Sheep,4.888
3709449,Forestry,9.445
3709449,Sheep,13.879
3709455,Sheep,0.071
3709485,Sheep,0.009
3709494,Sheep,0.096
3709501,Beef and Sheep,0.034
3709501,Sheep,0.184
3709505,Beef and Sheep,0.374
3709511,Beef and Sheep,0.903
3709519,Forestry,0.636
3709548,Forestry,167.921
3709548,Sheep,0.572
3709565,Forestry,17.939
3709582,Beef and Sheep,0.309
3709582,Sheep,0.924
3709593,Forestry,1.139
3709595,Beef and Sheep,8.131
3709598,Beef and Sheep,0.062
3709598,Forestry,56.596
3709598,Sheep,0.001
3709601,Beef and Sheep,0.112
3709608,Beef and Sheep,0.127
3709615,Beef and Sheep,11.067
3709619,Forestry,19.536
3709632,Cropping,0.106
3709632,Forestry,143.675
3709643,Beef and Sheep,6.094
3709643,Forestry,65.031
3709643,Sheep,11.442
3709650,Cropping,14.631
3709650,Dairy,42.699
3709650,Forestry,28.574
3709654,Sheep,0.02
3709669,Dairy,21.044
3709670,Dairy,15.231
3709670,Forestry,0.566
3709675,Beef and Sheep,0.129
3709675,Dairy,27.296
3709675,Forestry,3.606
3709675,Sheep,0.044
3709676,Forestry,20.665
3709678,Dairy,0.104
