"edge_id","trip_group_id","produce","flow_value"
1035,3,"Beef",578442
1878,12,"Forestry",2412
1192,25,"Veges",98367
1949,8,"Sheepmeat",37458
1710,27,"Sheepmeat",339663
1218,23,"Veges",1033
2400,10,"Sheepmeat",1860895
1037,27,"Sheepmeat",44234
1206,15,"Forestry",3096858
2557,9,"Sheepmeat",800585
3159,29,"Sheepmeat",9865589
1567,9,"Sheepmeat",6872
944,18,"Fruit",2578906
1713,2,"Beef",41692
1178,29,"Sheepmeat",187627
3008,26,"Veges",3371531
1930,10,"Sheepmeat",193811
2733,25,"Veges",51481877
2329,16,"Forestry",240600
65,25,"Veges",1325647
1249,9,"Sheepmeat",1750781
1203,19,"Fruit",55204
2925,10,"Sheepmeat",11346414
3144,11,"Forestry",3177321
2091,2,"Beef",71677
612,29,"Sheepmeat",5241
1811,29,"Sheepmeat",2241486
3081,3,"Beef",3630
2091,11,"Forestry",109992
2822,26,"Veges",12705536
2073,26,"Veges",2352101
274,24,"Veges",47809262
1377,29,"Sheepmeat",5330294
1814,16,"Forestry",1765231
2776,13,"Forestry",46495
2416,9,"Sheepmeat",306031
1029,27,"Sheepmeat",85045
832,9,"Sheepmeat",24599000
2801,10,"Sheepmeat",11007692
132,22,"Fruit",6805
2282,9,"Sheepmeat",721324
2723,10,"Sheepmeat",278560
87,27,"Sheepmeat",191842
2812,8,"Sheepmeat",14524862
2938,25,"Veges",162984
3144,22,"Fruit",50124
1569,29,"Sheepmeat",986959
2014,19,"Fruit",17577
2745,2,"Beef",4853
2398,2,"Beef",164454
1661,2,"Beef",48227
1698,4,"Beef",2277219
2299,16,"Forestry",60302033
2805,28,"Sheepmeat",16818376
1566,6,"Beef",4015
1274,27,"Sheepmeat",35729
1099,12,"Forestry",43567
2810,4,"Beef",18471867
2795,8,"Sheepmeat",6331125
2578,9,"Sheepmeat",609562
1623,28,"Sheepmeat",589786
3010,13,"Forestry",482063
2945,23,"Veges",5373376
1093,4,"Beef",31454
2165,23,"Veges",1188
2160,15,"Forestry",71857
1381,3,"Beef",6585
3039,26,"Veges",11474385
558,27,"Sheepmeat",136248
2143,13,"Forestry",1435
2578,8,"Sheepmeat",655964
1554,12,"Forestry",7096
595,12,"Forestry",2412
1699,12,"Forestry",22082
2836,20,"Fruit",88012
415,28,"Sheepmeat",1393
2992,25,"Veges",31465611
3080,14,"Forestry",1429
3094,8,"Sheepmeat",9343
2594,13,"Forestry",248343
3070,14,"Forestry",5317
2527,8,"Sheepmeat",8418
1923,29,"Sheepmeat",110881
1983,9,"Sheepmeat",390185
998,28,"Sheepmeat",2117508
2408,29,"Sheepmeat",671375
2036,8,"Sheepmeat",5917426
1840,3,"Beef",7530
2881,28,"Sheepmeat",29286087
830,6,"Beef",2952
1708,11,"Forestry",13663
1170,28,"Sheepmeat",698473
2920,22,"Fruit",1080
1216,9,"Sheepmeat",23778
1854,16,"Forestry",9766
3142,21,"Fruit",203202
2030,9,"Sheepmeat",46012
907,4,"Beef",144326
1643,28,"Sheepmeat",150518
578,10,"Sheepmeat",804813
1301,27,"Sheepmeat",155778
888,21,"Fruit",32563
2565,25,"Veges",122310
1181,8,"Sheepmeat",257903
2219,4,"Beef",631135
1866,26,"Veges",32806
1169,16,"Forestry",148982
2439,29,"Sheepmeat",6582719
2930,2,"Beef",5764479
1817,2,"Beef",303327
1463,27,"Sheepmeat",63033
689,19,"Fruit",947284
151,19,"Fruit",231939
2416,2,"Beef",305609
3096,29,"Sheepmeat",4649
1770,2,"Beef",24454
2350,8,"Sheepmeat",89644
892,15,"Forestry",31287
1016,25,"Veges",817942
1383,8,"Sheepmeat",6634
3050,13,"Forestry",197471
1876,28,"Sheepmeat",567955
2986,29,"Sheepmeat",1209648
612,9,"Sheepmeat",1257
1905,9,"Sheepmeat",36770
725,8,"Sheepmeat",4550
1000,11,"Forestry",2584
1672,10,"Sheepmeat",226764
2724,9,"Sheepmeat",14345640
1721,3,"Beef",41965
456,29,"Sheepmeat",7176
1577,19,"Fruit",1775911
2360,27,"Sheepmeat",1178505
1147,16,"Forestry",45553
2378,4,"Beef",673506
1637,3,"Beef",45759
2511,10,"Sheepmeat",5243
2928,3,"Beef",73008
1781,9,"Sheepmeat",11177
2176,19,"Fruit",240629
1041,19,"Fruit",7086383
1859,2,"Beef",34883
1056,16,"Forestry",19818626
2960,9,"Sheepmeat",5329733
1980,4,"Beef",1221612
757,2,"Beef",3412
2939,2,"Beef",5113989
3026,25,"Veges",31465611
397,26,"Veges",16249987
1118,2,"Beef",1765917
2272,16,"Forestry",331147
1067,25,"Veges",493197
1443,14,"Forestry",22232
866,29,"Sheepmeat",4302
2037,29,"Sheepmeat",21839893
1108,16,"Forestry",241479
434,2,"Beef",220749
2198,12,"Forestry",2876
1393,29,"Sheepmeat",17470
434,17,"Fruit",35191
2984,15,"Forestry",481027
3110,11,"Forestry",2578862
1284,2,"Beef",1345
1519,25,"Veges",32924701
2324,13,"Forestry",18026
3054,6,"Beef",8405
572,20,"Fruit",1032
2033,2,"Beef",6190428
1313,4,"Beef",2326
1423,28,"Sheepmeat",87125
833,3,"Beef",3801257
2828,12,"Forestry",2986637
30,27,"Sheepmeat",8923
2613,20,"Fruit",13366
2109,3,"Beef",709929
2204,3,"Beef",7408
1640,27,"Sheepmeat",613122
3095,2,"Beef",10839844
2768,20,"Fruit",81636
1572,12,"Forestry",7096
2745,22,"Fruit",3209
2083,2,"Beef",5770
