"shape_id","x","y"
622,173.74596,-41.10086
623,173.74589,-41.10065
624,173.74585,-41.10044
625,173.74585,-41.10023
626,173.74599,-41.10006
627,173.7463,-41.10005
628,173.7466,-41.09999
629,173.74687,-41.09988
630,173.74714,-41.09977
631,173.74742,-41.09966
632,173.74772,-41.09964
633,173.74801,-41.09971
634,173.74827,-41.09984
635,173.74855,-41.09993
636,173.74885,-41.09988
637,173.74916,-41.09988
638,173.74946,-41.09984
639,173.74974,-41.09974
640,173.75002,-41.09963
641,173.75031,-41.09956
642,173.75059,-41.09946
643,173.75084,-41.09932
644,173.75102,-41.09913
645,173.75109,-41.09891
646,173.75105,-41.09868
647,173.75097,-41.09845
648,173.75094,-41.09822
649,173.75111,-41.09803
650,173.75139,-41.09794
651,173.75168,-41.09784
652,173.75196,-41.09775
653,173.75222,-41.09763
654,173.75235,-41.09743
655,173.75243,-41.09721
656,173.75273,-41.09714
657,173.75303,-41.09711
658,173.75334,-41.09711
659,173.75363,-41.09704
660,173.75386,-41.09689
661,173.75396,-41.09667
662,173.75407,-41.09645
663,173.75418,-41.09623
664,173.75437,-41.09605
665,173.75457,-41.09587
666,173.75477,-41.09569
667,173.75488,-41.09548
668,173.75489,-41.09525
669,173.75497,-41.09503
670,173.7552,-41.09487
671,173.75544,-41.09472
672,173.7556,-41.09453
673,173.75578,-41.09434
674,173.75591,-41.09413
675,173.7561,-41.09394
676,173.75628,-41.09376
677,173.7563,-41.09353
678,173.75625,-41.09332
679,173.75643,-41.09313
680,173.75673,-41.0931
681,173.757,-41.09303
682,173.75718,-41.09284
683,173.75739,-41.09267
684,173.75769,-41.09261
685,173.75795,-41.09249
686,173.7582,-41.09235
687,173.75831,-41.09214
688,173.75845,-41.09193
689,173.75871,-41.09183
690,173.759,-41.09175
691,173.75927,-41.09165
692,173.75952,-41.09153
693,173.75974,-41.09137
694,173.75996,-41.09122
695,173.76016,-41.09105
696,173.7603,-41.09085
697,173.76037,-41.09063
698,173.76038,-41.0904
699,173.76038,-41.09017
700,173.76055,-41.08999
701,173.76074,-41.08981
702,173.76093,-41.08963
703,173.76114,-41.08947
704,173.76138,-41.08934
705,173.76161,-41.08919
706,173.7619,-41.08922
707,173.76219,-41.08926
708,173.76247,-41.08918
709,173.76273,-41.08906
710,173.76299,-41.08895
711,173.76323,-41.08881
712,173.76345,-41.08865
713,173.76365,-41.08849
714,173.76383,-41.08831
715,173.76399,-41.08811
716,173.76411,-41.0879
717,173.76419,-41.08769
718,173.76416,-41.08746
719,173.76411,-41.08724
720,173.76422,-41.08704
721,173.76449,-41.0871
722,173.7647,-41.08726
723,173.76495,-41.08739
724,173.76522,-41.08749
725,173.80552,-41.2872
726,173.80553,-41.28697
727,173.80546,-41.28676
728,173.80518,-41.28673
729,173.80493,-41.28684
730,173.80469,-41.28685
731,173.8047,-41.28662
732,173.80457,-41.28642
733,173.80442,-41.28622
734,173.80427,-41.28603
735,173.57679,-41.26027
736,173.57709,-41.26025
737,173.57738,-41.2603
738,173.57767,-41.26034
739,173.57796,-41.26039
740,173.57825,-41.26044
741,173.57854,-41.26049
742,173.57883,-41.26054
743,173.57912,-41.26059
744,173.57941,-41.26064
745,173.57971,-41.26069
746,173.58,-41.26074
747,173.58029,-41.26075
748,173.58052,-41.26061
749,173.58069,-41.26043
750,173.58085,-41.26024
751,173.58101,-41.26005
752,173.58115,-41.25985
753,173.58128,-41.25965
754,173.58139,-41.25944
755,173.58149,-41.25923
756,173.58155,-41.25901
757,173.5816,-41.25879
758,173.58164,-41.25856
759,173.58169,-41.25834
760,173.58173,-41.25812
761,173.58178,-41.2579
762,173.58182,-41.25767
763,173.58186,-41.25745
764,173.58191,-41.25723
765,173.58195,-41.25701
766,173.582,-41.25678
767,173.58204,-41.25656
768,173.58208,-41.25634
769,173.58213,-41.25612
770,173.58217,-41.2559
771,173.58222,-41.25567
772,173.58226,-41.25545
773,173.58231,-41.25523
774,173.58235,-41.25501
775,173.5824,-41.25478
776,173.58245,-41.25456
777,173.58249,-41.25434
778,173.58253,-41.25412
779,173.58257,-41.2539
780,173.58262,-41.25367
781,173.58267,-41.25345
782,173.58271,-41.25323
783,173.58275,-41.25301
784,173.58279,-41.25278
785,173.58283,-41.25256
786,173.58287,-41.25234
787,173.5829,-41.25211
788,173.58294,-41.25189
789,173.58297,-41.25167
790,173.583,-41.25144
791,173.58304,-41.25122
792,173.58307,-41.251
793,173.58311,-41.25077
794,173.58315,-41.25055
795,173.58322,-41.25034
796,173.5835,-41.25028
797,173.58379,-41.25023
798,173.58403,-41.2501
799,173.58421,-41.24992
800,173.58437,-41.24973
801,173.58447,-41.24952
802,173.58455,-41.2493
803,173.58466,-41.24909
804,173.58478,-41.24889
805,173.58491,-41.24869
806,173.58517,-41.2486
807,173.58534,-41.24845
808,173.58538,-41.24822
809,173.58542,-41.248
810,173.58546,-41.24778
811,173.58549,-41.24755
812,173.57511,-41.25997
813,173.5754,-41.26002
814,173.5757,-41.26008
815,173.57599,-41.26013
816,173.57628,-41.26018
817,173.57657,-41.26023
818,173.5768,-41.26032
819,173.57678,-41.26055
820,173.57673,-41.26077
821,173.57668,-41.26099
822,173.57664,-41.26121
823,173.57662,-41.26143
824,173.5766,-41.26166
825,173.57658,-41.26188
826,173.57656,-41.26211
827,173.57654,-41.26233
828,173.57653,-41.26255
829,173.57651,-41.26278
830,173.5765,-41.263
831,173.57646,-41.26323
832,173.57641,-41.26345
833,173.57634,-41.26367
834,173.57629,-41.26389
835,173.57624,-41.26411
836,173.57619,-41.26433
837,173.5762,-41.26455
838,173.57621,-41.26478
839,173.57622,-41.265
840,173.57622,-41.26523
841,173.57623,-41.26545
842,173.57624,-41.26568
843,173.57625,-41.2659
844,173.57625,-41.26613
845,173.5762,-41.26635
846,173.5761,-41.26656
847,173.57597,-41.26676
848,173.57585,-41.26696
849,173.5758,-41.26718
850,173.57576,-41.26741
851,173.57573,-41.26763
852,173.57569,-41.26785
853,173.57566,-41.26808
854,173.57562,-41.2683
855,173.57559,-41.26852
856,173.57561,-41.26875
857,173.57565,-41.26897
858,173.57569,-41.26919
859,173.57572,-41.26942
860,173.94877,-40.92069
861,173.94897,-40.92084
862,173.949,-40.92106
863,173.94903,-40.92129
864,173.94909,-40.92151
865,173.94905,-40.92174
866,173.94894,-40.92195
867,173.94886,-40.92217
868,173.9488,-40.92239
869,173.94875,-40.92262
870,173.94862,-40.92282
871,173.94845,-40.923
872,173.9484,-40.92323
873,173.94833,-40.92345
874,173.94823,-40.92365
875,173.94818,-40.92388
876,173.94818,-40.9241
877,173.94825,-40.92433
878,173.94827,-40.92455
879,173.94814,-40.92475
880,173.94794,-40.92492
881,173.94787,-40.92514
882,173.94775,-40.92535
883,173.94766,-40.92556
884,173.94758,-40.92578
885,173.94751,-40.92601
886,173.94744,-40.92623
887,173.9475,-40.92643
888,173.94779,-40.92641
889,173.94808,-40.92647
890,173.94836,-40.92656
891,173.94865,-40.9266
892,173.94888,-40.92648
893,173.94912,-40.92633
894,173.94937,-40.9262
895,173.94964,-40.92612
896,173.94994,-40.92614
897,173.95023,-40.92619
898,173.95047,-40.92607
899,173.95056,-40.92585
900,173.95071,-40.92565
901,173.95096,-40.92553
902,173.95122,-40.92542
903,173.95149,-40.92531
904,173.95176,-40.92522
905,173.95206,-40.92521
906,173.95232,-40.92531
907,173.95257,-40.92544
908,173.95287,-40.92545
909,173.95316,-40.92548
910,173.95341,-40.92562
911,173.95369,-40.92565
912,173.95398,-40.92567
913,173.95419,-40.92583
914,173.95448,-40.92588
915,173.95478,-40.92587
916,173.95506,-40.92596
917,173.95535,-40.92601
918,173.95564,-40.92607
919,173.95591,-40.92617
920,173.95611,-40.92633
921,173.95613,-40.92656
922,173.95601,-40.92676
923,173.95584,-40.92695
924,173.95572,-40.92716
925,173.95573,-40.92738
926,173.95584,-40.92759
927,173.95596,-40.9278
928,173.95609,-40.92801
929,173.95615,-40.92823
930,173.95612,-40.92846
931,173.95599,-40.92866
932,173.95587,-40.92887
933,173.95584,-40.92909
934,173.95584,-40.92932
935,173.95575,-40.92953
936,173.95553,-40.92968
937,173.95548,-40.92989
938,173.95572,-40.93001
939,173.95598,-40.93012
940,173.95627,-40.93017
941,173.95654,-40.93026
942,173.95674,-40.93043
943,173.95691,-40.93062
944,173.95711,-40.93078
945,173.95733,-40.93092
946,173.95728,-40.93114
947,173.95718,-40.93135
948,173.95717,-40.93158
949,173.9573,-40.93178
950,173.95753,-40.93192
951,173.95769,-40.93211
952,173.95791,-40.93226
953,173.95813,-40.93242
954,173.95834,-40.93258
955,173.95857,-40.93272
956,173.9588,-40.93287
957,173.95899,-40.93304
958,173.95916,-40.93322
959,173.95929,-40.93341
960,173.9595,-40.93355
961,173.95975,-40.93366
962,173.95965,-40.93378
963,173.9594,-40.93368
964,173.95917,-40.93355
965,173.95891,-40.93346
966,173.95864,-40.9334
967,173.95836,-40.93338
968,173.95809,-40.93334
969,173.95781,-40.93335
970,173.95756,-40.93325
971,173.95731,-40.93316
972,173.95713,-40.93332
973,173.95698,-40.93349
974,173.95677,-40.93364
975,173.9565,-40.93362
976,173.95623,-40.93354
977,173.95596,-40.93357
978,173.95585,-40.93376
979,173.95594,-40.93397
980,173.95584,-40.93415
981,173.9557,-40.93433
982,173.95583,-40.93451
983,173.95596,-40.93468
984,173.95592,-40.93489
985,173.95603,-40.93509
986,173.95613,-40.93529
987,173.9562,-40.9355
988,173.95618,-40.93571
989,173.95599,-40.93587
990,173.95586,-40.93604
991,173.95597,-40.93624
992,173.9561,-40.93643
993,173.9563,-40.93658
994,173.95616,-40.93677
995,173.95603,-40.93695
996,173.95583,-40.9371
997,173.95577,-40.93731
998,173.95573,-40.93752
999,173.95558,-40.93769
1000,173.9553,-40.93767
1001,173.95504,-40.93773
1002,173.95505,-40.93793
1003,173.95512,-40.93813
1004,173.95498,-40.93831
1005,173.95473,-40.93841
1006,173.95446,-40.93836
1007,173.95422,-40.93824
1008,173.95397,-40.93818
1009,173.95379,-40.93833
1010,173.95383,-40.93853
1011,173.95365,-40.9387
1012,173.95354,-40.9389
1013,173.95331,-40.93898
1014,173.95307,-40.93889
1015,173.95279,-40.93894
1016,173.95252,-40.93901
1017,173.95229,-40.93913
1018,173.95208,-40.93902
1019,173.952,-40.93884
1020,173.95179,-40.9387
1021,173.95157,-40.93875
1022,173.95131,-40.93882
1023,173.95106,-40.93874
1024,173.9508,-40.93866
1025,173.95052,-40.9387
1026,173.95025,-40.93877
1027,173.94997,-40.93878
1028,173.94989,-40.93859
1029,173.94982,-40.93838
1030,173.94958,-40.93837
1031,173.94945,-40.93856
1032,173.94931,-40.93875
1033,173.94926,-40.93896
1034,173.94924,-40.93917
1035,173.94916,-40.93935
1036,173.94888,-40.93932
1037,173.94864,-40.93921
1038,173.94838,-40.93915
1039,173.94836,-40.93934
1040,173.94845,-40.93954
1041,173.94855,-40.93974
1042,173.94872,-40.93992
1043,173.94883,-40.94011
1044,173.94884,-40.94033
1045,173.94881,-40.94054
1046,173.9487,-40.94071
1047,173.94842,-40.94076
1048,173.94814,-40.94074
1049,173.94788,-40.94076
1050,173.94792,-40.94096
1051,173.95353,-41.21671
1052,173.95367,-41.21651
1053,173.95392,-41.21641
1054,173.95412,-41.21627
1055,173.95421,-41.21606
1056,173.95428,-41.21584
1057,173.95435,-41.21562
1058,173.96405,-41.27583
1059,173.96405,-41.27628
1060,173.96399,-41.27672
1061,173.96397,-41.27694
1062,173.60121,-41.2174
1063,173.60099,-41.21755
1064,173.60077,-41.2177
1065,173.60053,-41.21783
1066,173.60028,-41.21796
1067,173.60002,-41.21806
1068,173.59974,-41.21814
1069,173.59946,-41.21822
1070,173.59919,-41.21831
