"point_id","x","y"
48874,173.961476,-41.273541
48875,173.961476,-41.273541
48876,173.96169,-41.273533
48877,173.961903,-41.273526
48878,173.962114,-41.273548
48879,173.962298,-41.273627
48880,173.962465,-41.273728
48881,173.962631,-41.27383
48882,173.9628,-41.273928
48883,173.962969,-41.274027
48884,173.963139,-41.274124
48897,173.965496,-41.275179
48898,173.965709,-41.275184
48899,173.965917,-41.27515
48900,173.966083,-41.275051
48901,173.966188,-41.274912
48902,173.966261,-41.274761
48903,173.966338,-41.274611
48904,173.966451,-41.274475
48905,173.966595,-41.274356
48906,173.96676,-41.274254
48907,173.966937,-41.274164
48908,173.967117,-41.274083
48909,173.967292,-41.274004
48910,173.96747,-41.273927
48911,173.967648,-41.273851
48912,173.967805,-41.273754
48913,173.967911,-41.273623
48914,173.968036,-41.273501
48915,173.968223,-41.273446
48916,173.968426,-41.273452
48917,173.968617,-41.273506
48918,173.968795,-41.273581
48919,173.968978,-41.27365
48920,173.969171,-41.273702
48921,173.969366,-41.27375
48922,173.969561,-41.273797
48923,173.969761,-41.273792
48924,173.969862,-41.273667
48925,173.969842,-41.273514
48926,173.969794,-41.273364
48927,173.969721,-41.27322
48928,173.969618,-41.273087
48929,173.969561,-41.27294
48930,173.969598,-41.272789
48931,173.969662,-41.272643
48932,173.969736,-41.272499
48933,173.969856,-41.272376
48934,173.97001,-41.272274
48935,173.970169,-41.272177
48936,173.970329,-41.27208
48937,173.970483,-41.271979
48938,173.970636,-41.271876
48939,173.970768,-41.271759
48940,173.970856,-41.27162
48941,173.970882,-41.271469
48942,173.97082,-41.271323
48943,173.970657,-41.271236
48944,173.97046,-41.271195
48945,173.970257,-41.271178
48946,173.970052,-41.271179
48947,173.969847,-41.27118
48948,173.969643,-41.271177
48949,173.96944,-41.271156
48950,173.96925,-41.271102
48951,173.969136,-41.270979
48952,173.96914,-41.270827
48953,173.969182,-41.270675
48954,173.969212,-41.270523
48955,173.969172,-41.270372
48956,173.969121,-41.270223
48957,173.969087,-41.270071
48958,173.969065,-41.269918
48959,173.96909,-41.269765
48960,173.969099,-41.269611
48961,173.969044,-41.269464
48962,173.968919,-41.269343
48963,173.968749,-41.269257
48964,173.968586,-41.269164
48965,173.968447,-41.269051
48966,173.968351,-41.268916
48967,173.968344,-41.268764
48968,173.968485,-41.268664
48969,173.968682,-41.268684
48970,173.968865,-41.26875
48971,173.969048,-41.268814
48972,173.969235,-41.268871
48973,173.969431,-41.268908
48974,173.969632,-41.268906
48975,173.96983,-41.268931
