"stop_id","stop_name","stop_code","stop_lat","stop_lon","zone_id"
760,"Gordon Rd, 64","344",-45.8795847,170.3508367,"5900_3C"
761,"High St, 73","398",-45.87859,170.3582769,"5900_3C"
762,"Corstorphine Rd, 81","200",-45.9035989,170.4717011,"5900_2B"
763,"Brighton Rd, 331","128",-45.9220831,170.404475,"5900_3B"
764,"Malvern St, 145","542",-45.8487675,170.5057161,"5900_2F"
765,"Cavell St, 91","176",-45.9014131,170.5210278,"5900_2A"
766,"Glenmore St, 39","324",-45.8401825,170.4970594,"5900_2F"
767,"Signal Hill Rd, 139","884",-45.8523653,170.5356792,"5900_2F"
768,"Pine Hill Rd, 351","699",-45.844045,170.5177317,"5900_2F"
769,"Brighton Rd, cnr Friendship Dr","116",-45.9209706,170.4089422,"5900_3B"
770,"Malvern St, 311","557",-45.8419636,170.5014011,"5900_2F"
771,"Cherry Drive, 12","186",-45.8664428,170.3595775,"5900_3C"
772,"North Taieri Rd, 63","652",-45.8935422,170.4193708,"5900_2C"
773,"Cumberland St, 894","210",-45.8590514,170.5155056,"5900_1"
774,"Taieri Rd, 185","964",-45.8627039,170.48106,"5900_2E"
775,"Tanner Rd, 106","984",-45.8419925,170.4965314,"5900_2F"
776,"Highcliff Rd, 193-195","410",-45.8893875,170.5407508,"5900_2A"
777,"Malvern St, 65","552",-45.8514167,170.5061258,"5900_2F"
778,"Chapman St, 65","183",-45.8574203,170.4905725,"5900_2E"
779,"Malvern St, 279","556",-45.8426642,170.5033531,"5900_2F"
780,"Highcliff Rd, 1","406",-45.8968719,170.5317617,"5900_2A"
781,"Murray St, 45","601",-45.8682569,170.3527861,"5900_3C"
782,"Kaikorai Valley Rd, 673","1082",-45.8931164,170.4598917,"5900_2D"
783,"North Taieri Rd, 4","656",-45.8961647,170.4207753,"5900_2C"
785,"Highcliff Rd, 73","417",-45.8952781,170.5365969,"5900_2A"
786,"Malvern St, opposite 180","543",-45.8467589,170.5062408,"5900_2F"
787,"Kaikorai Valley Rd, 703","1083",-45.8961703,170.45805,"5900_2D"
788,"Malvern St, 339","560",-45.8406917,170.5002628,"5900_2F"
789,"Malvern St, 3","549",-45.8544803,170.5083825,"5900_2F"
790,"Gordon Rd, 228","348",-45.8687425,170.3445119,"5900_3C"
791,"Signal Hill Rd, 119","886",-45.8529372,170.5340431,"5900_2F"
792,"Taieri Rd, 251","966",-45.8596494,170.47829,"5900_2E"
793,"Dundas St, 118","234",-45.8622064,170.5175733,"5900_1"
794,"North Taieri Rd, 51","651",-45.8951472,170.4202061,"5900_2C"
795,"Macandrew Rd, 4","508",-45.8949411,170.5044347,"5900_2A"
796,"Middleton Rd, 47","575",-45.9039208,170.4833508,"5900_2B"
797,"Eden St, 23-29","246",-45.8695572,170.3408458,"5900_3C"
798,"Brighton Rd, 820","104",-45.9394442,170.3446072,"5900_3B"
799,"Highcliff Rd, 51","416",-45.8963483,170.5352944,"5900_2A"
800,"Tomahawk Rd, 179","990",-45.9035325,170.5363692,"5900_2A"
801,"Chapman St, 119","178",-45.8557661,170.4908731,"5900_2E"
802,"Queen St, 12","789",-45.9491261,170.3261528,"5900_3B"
803,"Malvern St, 79","553",-45.8511978,170.5045022,"5900_2F"
804,"Pine Hill Rd, 315","697",-45.8455953,170.5170503,"5900_2F"
806,"Dall St, 1A","215",-45.8997364,170.4299119,"5900_2C"
807,"Silverton St, 57","897",-45.8960233,170.5302925,"5900_2A"
808,"Balmacewen Rd, 178","55",-45.8540311,170.4890733,"5900_2E"
809,"Brighton Rd, 723","102",-45.9374169,170.3550086,"5900_3B"
810,"Murray St, 33","608",-45.8685922,170.3515661,"5900_3C"
811,"Bush Rd, 70","157",-45.8763006,170.3388958,"5900_3C"
812,"Main South Rd, 90","528",-45.9023592,170.4471483,"5900_2C"
813,"Goodall St, 57","335",-45.8712119,170.3367808,"5900_3C"
814,"SH88, 309","846",-45.8642758,170.5619783,"5900_2G"
815,"Goodall St, 25-27","334",-45.8712042,170.3395481,"5900_3C"
816,"Helensburgh Rd, 281","382",-45.8508647,170.4815431,"5900_2E"
818,"Pine Hill Rd, 237","692",-45.8480878,170.5112931,"5900_2F"
819,"Malvern St, Leith Stream","545",-45.8449183,170.5064008,"5900_2F"
820,"Brighton Rd, cnr Allen Rd","108",-45.9142286,170.4137064,"5900_3B"
821,"Argyle St, 109","34",-45.8761861,170.34481,"5900_3C"
822,"Mornington Rd, 131","1115",-45.8934958,170.4639325,"5900_2D"
823,"Braemar St, 21","86",-45.8741506,170.335785,"5900_3C"
824,"Elgin Rd, 165","249",-45.8893019,170.4733292,"5900_2D"
825,"Argyle St, 91","36",-45.8782725,170.3460275,"5900_3C"
826,"Gladstone Rd, 177","319",-45.8491756,170.5138364,"5900_2F"
827,"Pine Hill Rd, 265","693",-45.8478747,170.5130394,"5900_2F"
828,"Highcliff Rd, 247","413",-45.8871178,170.5430328,"5900_2A"
829,"Main South Rd, cnr Winifred St","531",-45.9017969,170.4518186,"5900_2C"
830,"Brighton Rd, 587","100",-45.9347453,170.3705025,"5900_3B"
831,"Middleton Rd, 61","583",-45.9049019,170.4818722,"5900_2B"
833,"Harington Point Rd, 78","1146",-45.8369278,170.661195,"5900_3A"
834,"Cherry Drive, 60","188",-45.8659528,170.3564981,"5900_3C"
836,"Brighton Rd, 349","96",-45.9225317,170.4026783,"5900_3B"
837,"David St, 76","222",-45.8988189,170.4840742,"5900_2B"
838,"Hagart Alexander Drive, 168","361",-45.8832375,170.3565244,"5900_3C"
839,"Mornington Rd, 71","1112",-45.8911128,170.4669678,"5900_2D"
840,"Logan Park High School Terminus","1109",-45.8624322,170.5273689,"5900_1"
841,"Hislop St, 25","1037",-45.8474189,170.5186439,"5900_2F"
842,"Wilkinson St Playground","1022",-45.8464347,170.5190117,"5900_2F"
843,"Tomahawk Rd, 285","992",-45.9034714,170.5456347,"5900_2A"
844,"Riselaw Rd, 84","1125",-45.900535,170.4692956,"5900_2B"
846,"Riselaw Rd, 148","1127",-45.9038578,170.4707475,"5900_2B"
847,"Brighton Rd, 487","98",-45.9308494,170.3825044,"5900_3B"
849,"Forbury Rd, 24","281",-45.9001394,170.4852789,"5900_2B"
850,"Forbury Rd, 64","282",-45.9021233,170.4864847,"5900_2B"
851,"Kirkcaldy St, 19","1028",-45.9004286,170.4948264,"5900_2B"
