"segment_id","leg_name","start_pc","end_pc"
2213,"Bike","0.07186","0.07208"
2214,"Bike","0.07208","0.07230"
2215,"Bike","0.07230","0.07249"
2216,"Bike","0.07249","0.07271"
2217,"Bike","0.07271","0.07291"
2218,"Bike","0.07291","0.07313"
2219,"Bike","0.07313","0.07334"
2220,"Bike","0.07334","0.07356"
2221,"Bike","0.07356","0.07381"
2222,"Bike","0.07381","0.07404"
2223,"Bike","0.07404","0.07429"
2224,"Bike","0.07429","0.07453"
2225,"Bike","0.07453","0.07477"
2226,"Bike","0.07477","0.07501"
2227,"Bike","0.07501","0.07526"
2228,"Bike","0.07526","0.07550"
2229,"Bike","0.07550","0.07571"
2230,"Bike","0.07571","0.07592"
2231,"Bike","0.07592","0.07613"
2232,"Bike","0.07613","0.07634"
2233,"Bike","0.07634","0.07657"
2234,"Bike","0.07657","0.07678"
2235,"Bike","0.07678","0.07700"
2236,"Bike","0.07700","0.07724"
2237,"Bike","0.07724","0.07746"
2238,"Bike","0.07746","0.07770"
2239,"Bike","0.07770","0.07794"
2240,"Bike","0.07794","0.07818"
2241,"Bike","0.07818","0.07843"
2242,"Bike","0.07843","0.07867"
2243,"Bike","0.07867","0.07892"
2244,"Bike","0.07892","0.07916"
2245,"Bike","0.07916","0.07941"
2246,"Bike","0.07941","0.07965"
2247,"Bike","0.07965","0.07989"
2248,"Bike","0.07989","0.08013"
2249,"Bike","0.08013","0.08037"
2250,"Bike","0.08037","0.08061"
2251,"Bike","0.08061","0.08085"
2252,"Bike","0.08085","0.08107"
2253,"Bike","0.08107","0.08131"
2254,"Bike","0.08131","0.08153"
2255,"Bike","0.08153","0.08176"
2256,"Bike","0.08176","0.08198"
2257,"Bike","0.08198","0.08221"
2258,"Bike","0.08221","0.08241"
2259,"Bike","0.08241","0.08264"
2260,"Bike","0.08264","0.08287"
2261,"Bike","0.08287","0.08308"
2262,"Bike","0.08308","0.08332"
2263,"Bike","0.08332","0.08354"
2264,"Bike","0.08354","0.08379"
2265,"Bike","0.08379","0.08400"
2266,"Bike","0.08400","0.08425"
2267,"Bike","0.08425","0.08448"
2268,"Bike","0.08448","0.08469"
2269,"Bike","0.08469","0.08493"
2270,"Bike","0.08493","0.08515"
2271,"Bike","0.08515","0.08539"
2272,"Bike","0.08539","0.08561"
2273,"Bike","0.08561","0.08581"
2274,"Bike","0.08581","0.08603"
2275,"Bike","0.08603","0.08625"
2276,"Bike","0.08625","0.08646"
2277,"Bike","0.08646","0.08665"
2278,"Bike","0.08665","0.08686"
2279,"Bike","0.08686","0.08706"
2280,"Bike","0.08706","0.08727"
2281,"Bike","0.08727","0.08748"
2282,"Bike","0.08748","0.08767"
2283,"Bike","0.08767","0.08788"
2284,"Bike","0.08788","0.08810"
2285,"Bike","0.08810","0.08834"
2286,"Bike","0.08834","0.08856"
2287,"Bike","0.08856","0.08879"
2288,"Bike","0.08879","0.08902"
2289,"Bike","0.08902","0.08924"
2290,"Bike","0.08924","0.08948"
2291,"Bike","0.08948","0.08970"
2292,"Bike","0.08970","0.08991"
2293,"Bike","0.08991","0.09012"
2294,"Bike","0.09012","0.09033"
2295,"Bike","0.09033","0.09055"
2296,"Bike","0.09055","0.09076"
2297,"Bike","0.09076","0.09097"
2298,"Bike","0.09097","0.09119"
2299,"Bike","0.09119","0.09140"
2300,"Bike","0.09140","0.09160"
2301,"Bike","0.09160","0.09181"
2302,"Bike","0.09181","0.09202"
2303,"Bike","0.09202","0.09224"
2304,"Bike","0.09224","0.09244"
2305,"Bike","0.09244","0.09263"
2306,"Bike","0.09263","0.09278"
2307,"Bike","0.09278","0.09293"
2308,"Bike","0.09293","0.09308"
2309,"Bike","0.09308","0.09327"
2310,"Bike","0.09327","0.09348"
2311,"Bike","0.09348","0.09370"
2312,"Bike","0.09370","0.09392"
2313,"Bike","0.09392","0.09415"
2314,"Bike","0.09415","0.09437"
2315,"Bike","0.09437","0.09460"
2316,"Bike","0.09460","0.09482"
2317,"Bike","0.09482","0.09504"
2318,"Bike","0.09504","0.09527"
2319,"Bike","0.09527","0.09549"
2320,"Bike","0.09549","0.09571"
2321,"Bike","0.09571","0.09593"
2322,"Bike","0.09593","0.09615"
2323,"Bike","0.09615","0.09637"
2324,"Bike","0.09637","0.09660"
2325,"Bike","0.09660","0.09682"
2326,"Bike","0.09682","0.09705"
2327,"Bike","0.09705","0.09728"
2328,"Bike","0.09728","0.09751"
2329,"Bike","0.09751","0.09772"
2330,"Bike","0.09772","0.09794"
2331,"Bike","0.09794","0.09816"
2332,"Bike","0.09816","0.09838"
2333,"Bike","0.09838","0.09861"
2334,"Bike","0.09861","0.09883"
2335,"Bike","0.09883","0.09905"
2336,"Bike","0.09905","0.09928"
2337,"Bike","0.09928","0.09949"
2338,"Bike","0.09949","0.09971"
2339,"Bike","0.09971","0.09994"
2340,"Bike","0.09994","0.10015"
2341,"Bike","0.10015","0.10036"
2342,"Bike","0.10036","0.10057"
2343,"Bike","0.10057","0.10079"
2344,"Bike","0.10079","0.10100"
2345,"Bike","0.10100","0.10121"
2346,"Bike","0.10121","0.10144"
2347,"Bike","0.10144","0.10168"
2348,"Bike","0.10168","0.10192"
2349,"Bike","0.10192","0.10216"
2350,"Bike","0.10216","0.10240"
2351,"Bike","0.10240","0.10263"
2352,"Bike","0.10263","0.10287"
2353,"Bike","0.10287","0.10310"
2354,"Bike","0.10310","0.10332"
2355,"Bike","0.10332","0.10357"
2356,"Bike","0.10357","0.10380"
2357,"Bike","0.10380","0.10406"
2358,"Bike","0.10406","0.10430"
2359,"Bike","0.10430","0.10455"
2360,"Bike","0.10455","0.10482"
2361,"Bike","0.10482","0.10510"
2362,"Bike","0.10510","0.10536"
2363,"Bike","0.10536","0.10563"
2364,"Bike","0.10563","0.10589"
2365,"Bike","0.10589","0.10614"
2366,"Bike","0.10614","0.10640"
2367,"Bike","0.10640","0.10663"
2368,"Bike","0.10663","0.10687"
2369,"Bike","0.10687","0.10710"
2370,"Bike","0.10710","0.10732"
2371,"Bike","0.10732","0.10755"
2372,"Bike","0.10755","0.10777"
2373,"Bike","0.10777","0.10800"
2374,"Bike","0.10800","0.10822"
2375,"Bike","0.10822","0.10844"
2376,"Bike","0.10844","0.10867"
2377,"Bike","0.10867","0.10889"
2378,"Bike","0.10889","0.10911"
2379,"Bike","0.10911","0.10934"
2380,"Bike","0.10934","0.10956"
2381,"Bike","0.10956","0.10978"
2382,"Bike","0.10978","0.11001"
2383,"Bike","0.11001","0.11023"
2384,"Bike","0.11023","0.11045"
2385,"Bike","0.11045","0.11068"
2386,"Bike","0.11068","0.11090"
2387,"Bike","0.11090","0.11112"
2388,"Bike","0.11112","0.11135"
2389,"Bike","0.11135","0.11157"
2390,"Bike","0.11157","0.11180"
2391,"Bike","0.11180","0.11202"
2392,"Bike","0.11202","0.11224"
2393,"Bike","0.11224","0.11247"
2394,"Bike","0.11247","0.11269"
